Nome,Telefone,Endereço,Convênio,CPF,Nascimento
Emanuella Vieira,+55 71 7974-4755,"Rodovia Cardoso, 50
Vila Paris
26696-952 Castro / RO",Particular,485.751.388-20,11/01/1997
Dr. Davi Luiz da Conceição,(084) 5111-1980,"Rua Pedro da Luz, 488
Beira Linha
40490-328 Gonçalves / SE",Plano EEE,889.333.508-46,04/20/2001
Lavínia da Cunha,+55 (051) 3038 6265,"Lago de Correia, 4
Santa Rita De Cássia
58319-827 Ribeiro / MG",Plano EEE,134.585.223-35,11/30/2014
Dra. Maria Cecília Lima,21 5069 1291,"Distrito Sarah Pereira, 93
Independência
39465394 da Mota / AC",Plano DDD,790.787.996-34,01/06/2008
Vitor Gabriel Oliveira,(061) 7752 9823,"Trecho Freitas, 9
Conjunto Jardim Filadélfia
91505-642 da Luz de Oliveira / MT",Plano CCC,258.718.343-44,02/09/1997
Nina Castro,+55 (051) 8219 6668,"Passarela Carlos Eduardo Sales, 68
Mantiqueira
48338836 Fernandes / RR",Plano BBB,509.445.655-91,04/11/1996
Sophia da Rocha,,"Viaduto Henrique Jesus, 202
Jaraguá
68703-716 Souza do Galho / MT",Plano BBB,746.895.311-80,10/15/2010
Cauê Azevedo,+55 (081) 2692 6052,"Campo Otávio Carvalho, 624
Maravilha
68963771 Cardoso / GO",Plano AAA,246.412.587-32,04/27/1991
Marcela Costa,+55 (011) 7808-5481,"Largo de Costela, 44
Alípio De Melo
21853597 Teixeira Grande / SC",Plano DDD,271.679.770-78,04/16/2003
Catarina Carvalho,+55 (081) 4757 3383,"Quadra Ana Julia Rocha, 25
Vila Oeste
31576013 Cunha do Oeste / AL",Plano EEE,400.623.446-65,
Dr. Guilherme Rezende,(041) 9867 9575,"Área de Dias, 41
Centro
22687192 da Costa / AM",Plano BBB,634.300.950-32,02/15/2019
Srta. Vitória Carvalho,51 376 4476,"Setor Nina Oliveira, 30
Vila Jardim São José
27210-528 da Cruz / CE",Plano DDD,243.277.505-77,11/29/2017
Sra. Emilly Moura,31 5429 0950,"Trevo de Gomes, 99
Estrela Do Oriente
58461890 Vieira Paulista / MS",Plano DDD,161.219.571-73,12/27/1994
Caroline Ferreira,+55 41 9236 2396,"Passarela Alexia Jesus, 69
Conjunto Novo Dom Bosco
51487600 Gomes de Goiás / ES",Plano CCC,493.417.314-67,05/10/2019
Carlos Eduardo da Rocha,+55 21 0725 4855,"Estrada Joaquim Rodrigues, 43
Vila Tirol
61308512 Pinto / SE",Particular,284.994.285-35,05/30/2015
Otávio Gomes,(011) 4261-3421,"Praia Novaes, 75
Bonfim
10644448 Freitas da Serra / RR",Particular,391.271.104-34,06/17/2017
Fernanda da Luz,21 5740 3558,"Esplanada Eloah da Mota, 46
Tirol
66556837 Dias das Pedras / RO",Plano BBB,688.449.890-65,06/21/2008
Laura Pinto,31 4678 1094,"Recanto Moreira, 4
Padre Eustáquio
14753-561 da Costa de Minas / GO",Plano CCC,453.414.666-50,02/23/2006
Vitória da Mota,84 3392 5323,"Sítio Carvalho
Aguas Claras
98702-247 da Cruz / PI",Particular,915.461.370-60,08/14/1992
Srta. Helena Nogueira,+55 (041) 3371-6857,"Lago Clarice Fogaça, 914
São Francisco Das Chagas
76763-714 Rezende / GO",Particular,771.538.173-19,02/23/2009
Maria Sophia Ferreira,61 4192 7633,"Vereda Felipe Ferreira
Fazendinha
77093-876 Azevedo / AC",Plano DDD,961.541.510-46,05/05/1991
Ana Clara Melo,+55 (084) 0675 7371,"Estrada Fogaça, 57
Grotinha
38497541 Peixoto / SE",Plano AAA,932.614.544-81,12/17/2016
Henrique Pereira,+55 (011) 6402 9232,"Travessa Eduardo Martins, 9
Xodo-Marize
74662871 Souza / DF",Plano EEE,572.508.898-65,04/10/2005
Sr. Rafael das Neves,31 8688-6231,"Conjunto de Lopes, 79
Trevo
91797092 Gomes / RJ",Plano EEE,218.619.990-27,06/20/2003
Juliana Ramos,51 528 6230,"Vereda Luiz Gustavo Moraes, 3
Parque São Pedro
93104356 Melo de da Mota / PA",Plano AAA,240.868.549-81,07/17/1997
Rafaela Alves,+55 41 1211 5350,"Loteamento Novaes, 634
Vila São Geraldo
35255-713 das Neves do Sul / PE",Plano CCC,427.342.405-12,02/11/2005
André Peixoto,+55 (084) 2697 6478,"Praça Kevin Martins, 3
Santa Maria
95318-130 Lima da Prata / SP",Plano CCC,316.885.251-35,05/01/2010
João Lucas da Mota,+55 (011) 3444-2619,"Parque Viana, 6
Vila Tirol
36061076 Lima / MG",Plano AAA,450.660.826-14,05/25/2013
Júlia da Mota,+55 51 670 4335,"Setor Freitas, 76
Novo Santa Cecilia
09515561 Azevedo / ES",Plano AAA,284.656.332-34,06/03/1994
Sophia Ferreira,+55 21 1797-9289,"Praia da Rocha, 89
Senhor Dos Passos
20970-456 Sales / PR",Particular,695.436.253-82,07/06/2014
Pedro Miguel Moura,+55 11 5953-8625,"Parque Amanda Barbosa, 905
Jardim América
39980249 da Conceição das Pedras / MT",Plano DDD,145.215.267-84,03/25/2012
Fernanda Aragão,+55 (071) 7175-5954,"Trevo da Paz
Nova Pampulha
38774-755 Aragão / CE",Plano AAA,325.304.251-91,01/07/2017
Natália Fernandes,+55 81 7802-2121,"Chácara de Dias
Serrano
98240-830 Pinto de Cardoso / ES",Plano EEE,237.938.454-94,01/16/2007
Fernanda Farias,+55 84 4841-8018,"Setor Manuela Nascimento
Fazendinha
65869-130 da Paz / MT",Plano EEE,443.618.433-26,12-27-2013
Srta. Luiza Costa,+55 41 6467 4902,"Parque de Pinto, 7
Vila São Rafael
66226-667 Cardoso / AP",Particular,503.219.342-14,03/08/2000
Cecília Freitas,(021) 9652-9057,"Pátio João Felipe Moraes
Nova Esperança
65704851 Araújo / SE",Plano AAA,636.338.360-32,08/28/1996
Gabriela da Rocha,+55 (051) 7307 7620,"Aeroporto de Costela, 438
Nossa Senhora Da Aparecida
11506-421 da Rocha Grande / RJ",Plano EEE,329.463.295-59,10/22/2001
Beatriz Alves,+55 (031) 2325 9798,"Avenida Milena Silveira, 3
Vila Trinta E Um De Março
88404-075 Farias / RJ",Plano AAA,967.991.676-52,03/18/1993
Marcela Castro,11 7730 9665,"Rua de Farias, 719
Bacurau
86852635 Moura / RO",Particular,502.134.296-65,08/31/1995
Calebe Dias,84 4546-7908,"Estrada Gabriela da Cunha, 87
Aguas Claras
57086439 Correia do Oeste / AC",Plano CCC,853.489.453-85,01/27/2018
Nicolas Lopes,+55 (084) 7803-2536,"Passarela de Moura, 86
Álvaro Camargos
80191721 Gonçalves / SP",Particular,159.242.859-65,05/06/1999
Sr. Heitor Fernandes,(061) 8149-4569,"Travessa Camila Duarte, 1
Luxemburgo
85696670 Ribeiro / PI",Plano CCC,656.166.192-61,06/29/2013
Emanuel da Rocha,+55 (071) 8710-1008,"Viela Duarte, 34
Outro
33515760 Costa da Mata / RR",Plano AAA,454.492.523-62,08/13/2002
Emanuelly Ferreira,(061) 2347-2559,"Pátio Isabelly Nunes
Vila Nova Paraíso
73779291 Vieira de Castro / GO",Plano DDD,163.912.293-56,12/03/1992
Dr. Benjamin Araújo,(061) 3365 5178,"Estação Caldeira, 79
Aeroporto
46220-772 da Luz / PA",Plano BBB,219.322.140-46,02/13/1995
Sra. Stephany Teixeira,+55 21 6813 2380,"Parque Ana Beatriz Dias, 13
Canadá
15925-966 Ferreira / TO",Plano AAA,219.649.512-40,12/05/1991
Ian Alves,+55 61 8763-6565,"Rodovia Campos, 1
Minas Caixa
73058-612 Souza / MS",Plano EEE,967.797.794-42,11/15/1995
Ana Luiza Silveira,(021) 7590-1631,"Colônia Duarte, 46
Serra Do Curral
33946-738 Gomes / PA",Plano BBB,660.702.550-97,01/07/1991
Vitor Rodrigues,51 972 6629,"Esplanada Laís Farias, 8
Ribeiro De Abreu
78821181 Monteiro de Lima / MS",Particular,102.455.912-76,07/20/2014
Ana Sophia Costela,+55 21 2832 9473,"Feira Elisa Santos, 7
Conjunto Capitão Eduardo
12831833 Lima / TO",Plano AAA,916.254.546-17,08/31/2004
Heitor Fogaça,(084) 4691-3540,"Fazenda Augusto Campos, 624
Marajó
02940564 Gomes de Pinto / MT",Plano AAA,819.404.548-10,10/05/2002
Lucas Gabriel Costela,+55 (021) 4337 5784,"Alameda Gonçalves
Trevo
36684225 Nunes da Prata / AL",Plano BBB,890.774.400-56,06/24/1995
João Pedro Teixeira,(051) 7673-9931,"Conjunto Moura, 68
Buritis
55793-807 Azevedo / CE",Particular,921.282.483-53,09-27-1997
Dr. Cauã Farias,31 9678 6449,"Campo de Caldeira, 163
Colégio Batista
22785590 Moreira / MA",Plano DDD,747.607.626-24,03/18/2008
João Felipe Souza,+55 41 0371-0661,"Vila de Duarte, 32
Nossa Senhora Do Rosário
92646-217 Silva das Pedras / AP",Plano EEE,790.984.600-20,08/05/2008
Cauê Ribeiro,(081) 1296-3364,"Via de Rodrigues, 384
Baleia
04140-719 Teixeira das Flores / CE",Plano BBB,328.995.174-46,06/20/2000
Vitor Farias,+55 21 6686 9148,"Parque de Souza, 34
Nossa Senhora Da Aparecida
57578826 Porto dos Dourados / AL",Plano AAA,873.746.672-89,03/12/2016
Thiago Sales,51 537 0461,"Vereda de Mendes, 613
Conjunto Jardim Filadélfia
43753256 Melo / AM",Plano BBB,345.981.629-12,11/28/2009
Maria Luiza Cardoso,(081) 6055 2218,"Pátio Correia
Distrito Industrial Do Jatoba
82078-883 das Neves Verde / SP",Plano BBB,649.864.674-84,12-02-2004
Cauê Gonçalves,(041) 1449 1416,"Pátio Farias, 90
Urca
74178791 Peixoto / AM",Plano AAA,549.259.916-26,03/09/2007
Daniela da Conceição,21 6525-8806,"Via Eloah Pinto, 467
Vila Nova Cachoeirinha 3ª Seção
78462540 Teixeira / RR",Plano CCC,447.717.218-50,10/02/2002
Sra. Sarah Moreira,+55 (031) 5971 8674,"Estação de Pereira, 74
Sagrada Família
28376-522 Sales / PB",Particular,825.162.603-49,05/19/1993
Eduardo da Mota,84 9776-0009,"Lagoa de Dias, 7
Vila Nova Dos Milionarios
52972700 da Cunha / MG",Particular,993.140.488-48,12/31/2008
Laura Gonçalves,(061) 5500-7908,"Vila Marina Viana, 3
Mantiqueira
74638414 Barros das Pedras / PI",Plano DDD,422.818.218-97,02/13/2010
Davi Luiz Rocha,+55 (041) 0692 8189,"Morro Antônio Fernandes, 40
Parque São Pedro
51110344 Gomes do Galho / AM",Plano DDD,490.215.952-57,11/12/2004
Valentina Novaes,41 6429 8334,"Quadra Bárbara da Mota
Bonsucesso
25235-715 Farias de Duarte / GO",Particular,310.170.171-49,11/13/2001
Davi Lucas Sales,+55 (011) 9822 7142,"Passarela Rafael Oliveira, 1
Jardim América
01969361 da Costa / TO",Plano EEE,106.516.251-20,10/19/2005
Sr. Calebe Cardoso,+55 (041) 2196 4832,"Passarela Cardoso, 664
Renascença
60221183 Sales / BA",Plano CCC,957.659.833-85,02/03/2019
Murilo Ramos,61 4327-4048,"Travessa Gomes, 87
Vila Ipiranga
35682315 Lima de Minas / AM",Plano CCC,341.921.561-26,06/23/2005
Vinicius Teixeira,(011) 1758-0872,"Distrito Pires, 76
Apolonia
09374-508 Gomes Verde / SE",Particular,224.581.274-45,01/10/2003
Antônio Almeida,+55 (021) 4424-1639,"Via Gomes, 88
Antonio Ribeiro De Abreu 1ª Seção
30587312 Duarte / SC",Plano DDD,405.902.429-66,09/14/2011
Clara Souza,(061) 4767-3881,"Morro de Monteiro, 38
Conjunto Califórnia I
96696-009 Costela / DF",Plano CCC,603.354.100-84,11/03/2013
Vitor Hugo Barbosa,+55 41 5254 8173,"Trevo Ferreira, 76
São Bento
34890803 Costa Verde / MS",Plano AAA,554.687.925-69,07/03/2010
Maria Julia Nogueira,84 1369 1958,"Lago Pereira, 80
Nova Floresta
00184015 da Costa de Goiás / PR",Particular,292.908.262-92,08/06/2012
Vitória Gonçalves,51 124 9609,"Parque Moreira, 98
Copacabana
02258-909 da Mota / RJ",Plano BBB,254.389.494-46,03/09/1999
Bruno Lima,84 2900-9430,"Travessa Peixoto, 934
Santa Monica
69166665 Moraes da Serra / MT",Plano CCC,580.546.679-40,12/25/2018
Benício Nascimento,+55 (061) 1678 2700,"Fazenda Eduarda Farias, 8
Novo São Lucas
76403280 Barbosa Alegre / CE",Plano DDD,610.838.961-95,01/25/2013
Caio Farias,11 0391 3166,"Favela Eduarda Martins, 79
Santa Monica
07632591 Santos de Alves / MA",Plano BBB,270.965.334-36,11/22/2016
Isaac Santos,+55 61 7184 7200,"Setor de Duarte, 53
Santa Rita De Cássia
48992379 Cardoso / PB",Plano BBB,380.120.896-80,07/14/2008
Pedro Lucas Almeida,81 3521 5157,"Área de Vieira, 6
Etelvina Carneiro
41042-102 Costa / SE",Plano CCC,209.278.761-19,10/08/1992
Nathan Duarte,+55 (071) 8299-3179,"Favela Nascimento, 90
Padre Eustáquio
52134-502 Teixeira do Sul / RR",Plano AAA,419.197.272-44,05/13/2020
Dr. Danilo Lima,31 4026-0622,"Avenida Maria Clara da Cruz, 59
Bernadete
45096-263 da Costa da Praia / AP",Particular,697.656.102-96,07/04/2006
Sophia Duarte,+55 81 6620-8383,"Trevo Dias, 36
Engenho Nogueira
84524-764 Vieira de Azevedo / AP",Particular,263.305.856-94,10/19/2019
Lorenzo Alves,41 1178 5501,"Ladeira das Neves, 87
Paraíso
64899189 Araújo / AM",Plano BBB,633.892.274-98,11/18/2003
João Vitor Novaes,(051) 5495-2117,"Sítio Nunes, 30
Esplanada
14807-297 Jesus / MS",Plano BBB,954.447.422-40,11/03/2003
Maria Julia Cavalcanti,+55 (084) 7823-2205,"Alameda de Gonçalves, 477
Santa Cecilia
23317503 Jesus do Norte / SC",Plano EEE,115.369.852-59,03/09/2007
Ana Julia Pereira,(071) 4588 8398,"Passarela Freitas, 44
Alto Das Antenas
11493-771 da Mata / RN",Plano DDD,945.696.622-45,06/20/2001
Maitê Ramos,(084) 0536-3806,"Vereda de Oliveira
Grotinha
41671-148 Rodrigues / AC",Plano BBB,833.137.903-56,08/03/2004
Sr. Marcelo Rocha,(051) 7941 9777,"Vale de da Paz
Vitoria Da Conquista
76596844 Porto / BA",Plano EEE,398.447.457-14,03/07/1992
Lucas Gabriel da Cruz,+55 (021) 9938-3428,"Estação Cardoso, 19
Bernadete
31927-584 Viana / AP",Plano BBB,733.762.369-60,03/03/2012
Dr. João Vitor da Mata,41 5953-5272,"Vereda Caldeira, 887
Biquinhas
55514427 Rodrigues / RJ",Plano BBB,659.315.545-27,03/22/2004
Evelyn Vieira,+55 (071) 6472 9676,"Loteamento Thiago Farias, 97
Maria Goretti
30290-776 da Luz / AP",Plano CCC,886.602.527-77,09/23/2001
Pedro Lucas Monteiro,+55 41 9915-4743,"Praia Pedro Moreira
Boa Esperança
10495-835 Araújo / GO",Plano EEE,189.300.543-94,08-31-2004
Joaquim Nascimento,(031) 3466-4842,"Setor de Barbosa
Renascença
45731-875 da Costa da Prata / CE",Plano AAA,774.348.229-63,01/21/2019
Thomas Barros,(071) 4686-5030,"Vereda de Pinto, 66
Ambrosina
61497-856 Silva de Azevedo / PB",Plano CCC,429.717.106-74,08/29/1997
Thales Moraes,(084) 7138-2261,"Viaduto Nina Costa, 19
Nova Esperança
42153888 Nascimento Grande / PI",Plano AAA,609.674.549-87,11/15/1992
Juliana da Costa,+55 11 5449 4894,"Vale João Vitor Alves, 17
Santa Efigênia
20101-457 Nunes / RR",Particular,301.529.349-19,07/28/2004
Dra. Bruna Porto,61 7629-6769,"Vale Cauã da Mota, 55
Independência
25053-865 Santos / PB",Plano CCC,889.858.266-42,12/05/2017
Letícia Farias,+55 (031) 9204-4067,"Estação Viana, 459
União
78843342 da Cruz / PE",Plano BBB,522.607.744-81,06/26/1999
André Ferreira,(051) 2751-4119,"Setor Julia Campos, 5
Granja De Freitas
20759-954 Souza dos Dourados / ES",Plano EEE,462.455.824-79,08/08/2014
Marcela Souza,21 2508-5799,"Recanto de Lopes, 44
Acaiaca
48777-572 Peixoto / AC",Plano AAA,,06/14/1995
Giovanna Fernandes,31 9824 9633,"Vila de Farias, 12
Jaraguá
71604-057 Fernandes / AP",Plano CCC,892-137-640-53,11/13/1994
Clarice Silva,(011) 8290-6904,"Parque de da Rocha, 46
Antonio Ribeiro De Abreu 1ª Seção
67576916 Dias / SP",Particular,244.861.415-78,04/17/2017
Noah Campos,81 6242-0634,"Via de Nogueira, 96
Jardim Vitoria
61075066 Araújo / PR",Particular,930.726.102-90,12/23/2014
Antônio Monteiro,41 2973-6808,"Núcleo da Cruz, 8
São Francisco
56940827 Nunes / TO",Plano CCC,527.122.575-40,07/24/2002
Dra. Laura Martins,+55 (041) 7899-2789,"Praia Azevedo, 87
Itapoa
95769-700 Duarte dos Dourados / RO",Plano AAA,832.468.159-92,10/29/1993
João Gabriel da Costa,11 9355-4964,"Colônia de Gomes, 98
Serra Verde
68011856 da Luz / DF",Particular,142.657.413-92,05/18/1995
Clarice Almeida,41 4660-8827,"Loteamento Cauê Duarte
Miramar
28613306 da Cunha Verde / ES",Particular,561.199.820-16,09/14/2014
Yuri Moura,+55 (041) 2618 3156,"Viaduto Pereira, 8
Vila União
68187407 Ferreira / RJ",Plano BBB,930.953.246-85,01/16/1993
Noah Rezende,21 5351 6633,"Parque Diego Caldeira, 6
São Lucas
95842158 Porto / RJ",Plano AAA,470.974.576-75,05/03/2016
Vitor Gabriel Lopes,(011) 2221 0416,"Alameda de Porto, 715
Jonas Veiga
56617518 das Neves / RR",Plano EEE,804.729.668-25,08/27/1999
Dr. Davi Luiz Viana,(061) 8561-2841,"Estrada de Porto, 23
Vila Ouro Minas
26146444 Souza / AC",Plano EEE,612.721.759-82,01/31/1999
Eduarda Rezende,31 2995 2262,"Estação de Cavalcanti, 40
Coqueiros
06844-402 Lima de Lima / AM",Plano BBB,485.292.710-75,06-10-2010
João Gabriel Freitas,(031) 1867 9738,"Rua Viana, 13
Nova Granada
73376-826 Cavalcanti / AP",Plano BBB,156.282.294-30,01/17/2015
Anthony Cavalcanti,(051) 4328 7875,"Pátio Cardoso, 61
Minas Caixa
57330435 Farias / TO",Plano DDD,424.830.217-36,05/18/2018
Luana da Cunha,51 689 2471,"Sítio Costela, 8
Heliopolis
57112-068 Porto de Cardoso / RN",Plano CCC,874.103.520-41,03/02/2020
Dra. Beatriz Silveira,+55 (061) 2031-4196,"Setor Fernando da Cruz
Lagoinha Leblon
25080-317 Pires / AL",Plano AAA,965.316.648-41,07/06/2020
Marcelo Gomes,+55 11 3703-0839,"Aeroporto de Farias, 363
Vila Jardim Montanhes
43134312 Silveira / RO",Plano DDD,307.422.280-19,03/04/1999
Dra. Amanda Barbosa,+55 71 0753 9381,"Quadra Lívia Santos, 68
Esplanada
88219737 Peixoto / AL",Plano CCC,778.559.513-63,02/26/2018
Davi Lucca Alves,+55 (071) 0655-4761,"Conjunto Peixoto, 47
Vila Madre Gertrudes 3ª Seção
17381-481 da Paz / RR",Plano BBB,444.355.422-39,08/12/1995
Levi Castro,+55 71 5774-4915,"Trevo Nascimento, 96
Vila Sumaré
70668350 Porto / PI",Plano BBB,695.380.264-72,04/12/2019
Emanuella Moura,21 7866-0074,"Rodovia Cardoso, 8
Santa Cecilia
43181238 Cunha / RJ",Plano DDD,199.675.775-36,10/31/2009
Nicole Peixoto,11 1933-7369,"Lago de Cardoso
Estrela
48230-624 Ferreira do Oeste / MA",Particular,937.328.889-13,01/02/2012
Samuel Lopes,41 9420 1255,"Lago de Moura
Jardinópolis
08574-906 Moreira / MG",,289.344.186-70,06/04/1992
Elisa Vieira,51 790 5081,"Alameda de da Paz, 84
Barreiro
49630584 da Paz da Praia / SE",Particular,121.817.472-17,05/21/2012
Lucca da Mata,+55 11 7091 6093,"Recanto de Pinto, 28
Vila Nova Gameleira 2ª Seção
36254495 Aragão de Pires / AL",Plano DDD,841.981.831-47,08/30/2019
Sophie Castro,+55 31 8288-2819,"Lagoa Paulo Monteiro, 229
Suzana
28218955 Araújo da Praia / GO",Plano DDD,386.955.834-34,03/09/2008
Anthony Cunha,81 5396 4282,"Parque Pinto, 26
Bairro Das Indústrias Ii
91469-221 Monteiro / PR",Plano CCC,267.548.205-31,10/25/1990
Thales Fogaça,31 0332 9732,"Praia de Correia, 786
Boa Vista
29442-532 da Cunha Alegre / PR",Plano CCC,377.466.266-92,
Esther Porto,41 0000 7439,"Alameda de Cardoso, 856
Nossa Senhora Da Aparecida
44594297 Cardoso dos Dourados / RS",Plano CCC,185.720.785-14,05/29/2000
Catarina Fernandes,41 8555 9044,"Viela Melo, 8
Lindéia
15818558 Silva / PB",Plano BBB,601.146.303-53,01/25/2005
Kevin Cavalcanti,11 3765-9008,"Área de Cavalcanti, 7
Vila Do Pombal
90276051 da Paz / AC",Particular,497.439.162-86,12/04/1990
Alice Pereira,(041) 9755-1525,"Via Lorena Azevedo
Jonas Veiga
49113094 Nunes / RN",Plano EEE,614.851.763-84,12/02/2018
Sr. Otávio Azevedo,+55 (051) 2140-6996,"Vila de Sales, 172
São Gabriel
69504049 Farias / PR",Plano EEE,781.394.205-27,01/03/1999
Pietro Moreira,+55 61 6274-8339,"Feira Costela, 13
Xodo-Marize
67693613 Cardoso / GO",Plano CCC,233.389.671-42,06/15/2014
Luiz Henrique Jesus,+55 (041) 6378 6390,"Ladeira Nogueira, 25
Garças
03716-974 Viana / SC",Plano DDD,552-231-633-96,05/01/2009
Ana Júlia da Mota,+55 21 1596-1444,"Viaduto Barros, 861
Havaí
02360278 Martins de Pereira / GO",Plano AAA,880.864.708-33,10/20/2010
Emanuel Nascimento,+55 41 5743 4082,"Esplanada de Cardoso, 354
Chácara Leonina
52820074 Moura da Serra / MA",Particular,265-866-683-76,05/25/1995
Srta. Rebeca Rodrigues,+55 51 991 4004,"Pátio Erick Gonçalves, 16
Alto Das Antenas
27681967 das Neves de Souza / DF",Plano AAA,568.974.711-56,07/08/2020
Daniel da Mota,+55 51 024 4917,"Praça de Santos
Diamante
50269-662 Nunes do Norte / SC",Plano EEE,680.481.646-59,05/06/2014
Raul da Rocha,41 9724-5997,"Colônia Pires, 2
Conjunto Floramar
16045717 da Costa de Costela / ES",Plano BBB,814.128.697-57,12/09/1996
Thiago Dias,+55 11 2035-3439,"Pátio Sales, 298
Horto
60250-498 Silva da Praia / PB",Plano BBB,188.995.288-47,10/23/2009
Ana Carolina Nogueira,+55 (041) 3627-2277,"Ladeira de Mendes, 27
Vila De Sá
13930-068 Costa / TO",Plano AAA,427.695.640-64,03/23/1993
Brenda Duarte,+55 (061) 4358 9446,"Colônia de Rezende, 87
Anchieta
25998537 Castro / BA",Plano DDD,879.365.380-59,07/29/2013
Ana Sophia Cardoso,+55 61 6355-7090,"Conjunto Alves, 76
Vila Nova Gameleira 3ª Seção
59168-631 Ramos / DF",Plano EEE,615.666.748-48,08/09/2015
João Cavalcanti,21 7839-6699,"Estação Caldeira, 13
Beira Linha
02736-096 Ramos / MS",Plano DDD,430.744.205-91,01/05/2019
Sabrina da Conceição,(041) 3793 1837,"Condomínio Lima
Vila São Francisco
22898998 Sales de Jesus / GO",Plano EEE,997.990.306-31,12/19/1996
Fernando Cardoso,(011) 5469-8496,"Colônia Almeida
Concórdia
98468822 Rocha de Goiás / RS",Plano DDD,267.128.794-40,09/13/1999
Srta. Alice da Costa,(011) 6236-5713,"Estação Barbosa, 57
Monsenhor Messias
47534-263 Campos dos Dourados / SP",Plano CCC,871.882.371-10,11/30/1991
Agatha Castro,(031) 6598-0208,"Viela Correia
Belmonte
29250-984 da Cruz / PE",Particular,821.234.157-92,11/26/1994
Vitor Gabriel Correia,84 2874-3485,"Travessa Beatriz Rocha, 45
Virgínia
67801331 Campos / PR",Plano CCC,505.749.637-68,07/02/2012
Amanda Barros,81 1706-3930,"Viela de da Rocha, 7
Vila Aeroporto
36806966 Souza do Oeste / PE",Plano BBB,854.686.982-60,09/02/1997
Bryan Almeida,+55 81 7468 8532,"Fazenda de Rodrigues
Anchieta
22240-704 Nunes / AM",Plano AAA,219.391.722-16,12/29/2006
Dra. Maria Eduarda Martins,+55 (084) 1011-0306,"Viaduto de Martins, 7
Vila Santo Antônio Barroquinha
12500484 Nogueira / PE",Particular,754.179.649-42,05/14/2001
Raquel Silveira,(041) 7997 8969,"Praça de Souza, 620
Vila Paris
74920177 Fogaça / RJ",Particular,119.826.941-93,12/17/2002
Vitória Fogaça,(041) 8969-4782,"Lagoa Luiz Henrique da Mata, 99
Cônego Pinheiro 2ª Seção
10014-508 da Paz de Alves / PA",Plano EEE,698.143.211-58,08/21/2019
Enrico Souza,(021) 2887-4656,"Morro Amanda Silva, 96
Vila Independencia 1ª Seção
87496643 Costa Paulista / TO",Plano EEE,708.319.316-61,11/28/2000
Sra. Isis Aragão,+55 84 3050-9495,"Vila Viana, 99
Coração Eucarístico
84508-543 Rezende de Freitas / AM",Plano EEE,631.660.100-93,07/03/2000
Bryan Pires,+55 (021) 5350 1796,"Área de Castro, 2
Vila Madre Gertrudes 2ª Seção
83200-617 da Paz / TO",Plano CCC,822.155.859-83,09/07/1994
Luiza Nogueira,(041) 1675 1535,"Trecho Henrique da Conceição, 28
Vila São Gabriel Jacui
80237-873 Pires de das Neves / MT",Plano AAA,869-234-910-57,11/10/1992
Maitê Lima,(031) 5352-3224,"Setor Maitê Pinto, 10
Distrito Industrial Do Jatoba
59162721 Ribeiro de Minas / MS",Plano AAA,227.901.516-50,06/28/1998
Ana Luiza Barbosa,61 3705-2212,"Parque Sophie Almeida, 41
Jardim Felicidade
74330-798 Sales do Sul / PI",Plano CCC,721.112.446-51,09/09/1991
Luiz Fernando Fogaça,41 8038-6728,"Conjunto Martins, 6
Conjunto Serra Verde
91258051 Nunes / RO",Plano AAA,814.751.835-92,07/24/2003
Pedro Henrique Almeida,(041) 5834 1495,"Lagoa de Dias, 93
Sion
98631107 Moreira / AP",Plano EEE,328.312.704-57,04/03/2015
Camila Moreira,+55 (021) 1681 1206,"Área de Melo, 6
Boa Vista
83031-301 Nunes Grande / PE",Plano DDD,297.594.145-26,10/06/2006
Maria Clara Ferreira,61 6859 7493,"Distrito João Lucas Lopes, 98
Solar Do Barreiro
92787746 Porto Verde / PR",Plano CCC,178.373.746-97,02/22/1993
Davi Lucas Oliveira,51 836 0975,"Largo Emanuelly Caldeira, 42
Cabana Do Pai Tomás
89031894 Barbosa / MA",Plano CCC,593.564.753-30,10/07/2006
Milena Correia,41 9970 9579,"Campo de Jesus, 79
Belvedere
77638-332 Ferreira / MS",Plano BBB,268.265.636-25,08/07/1996
Maria Vitória Cardoso,84 9894-9034,"Conjunto de Sales, 5
Zilah Sposito
98160-835 Jesus / RS",Particular,297-962-499-54,08/30/1992
Evelyn Peixoto,(084) 7161 2499,"Ladeira Barbosa, 226
Vila Suzana Segunda Seção
53542-632 Castro / PB",Plano AAA,521.906.929-73,12/12/2000
Erick da Mata,+55 11 6203 9831,"Setor Nathan Ramos, 745
Caetano Furquim
31395044 da Cunha da Praia / GO",Plano EEE,689.939.291-26,08/17/1993
Ana Carolina Fernandes,(051) 7079-0649,"Feira de Moraes, 60
Vila Independencia 3ª Seção
91535-714 Viana / MG",Plano CCC,154.102.151-86,06/12/2016
Luiz Felipe Silva,+55 81 9434 9170,"Estrada da Paz, 60
Serrano
06881504 Gomes de Santos / MA",Plano CCC,916.396.837-34,10/18/2010
Yago Castro,+55 31 8758-7158,"Feira Brenda da Mata, 8
Mariano De Abreu
83637058 Pires do Sul / AP",Particular,868.906.532-93,04/10/2007
João Guilherme Nunes,+55 (051) 9007 1772,"Área Antônio Ramos, 709
Bom Jesus
65279-761 Novaes / AC",Plano AAA,866.784.445-21,08/19/2011
