Nome,Especialização,Contratação,Telefone,Endereço,CPF,Nascimento
Erick Cardoso,Neurologia,10/02/2015,51 706 5254,"Setor Leandro Alves, 375
Bonfim
02308200 Correia do Galho / AP",453.958.665-69,09/16/1979
Isabel Nunes,Cirurgia geral,05/13/2012,+55 (051) 1139 2615,"Campo Gabrielly Cunha, 849
Vila Vista Alegre
61222920 da Cruz de Minas / AP",220.990.856-44,03/07/1986
Ana Luiza Barros,Radioterapia,09/01/2011,+55 (021) 5937 7379,"Pátio Viana
Vila Nova
43839328 Gonçalves / SE",209.301.824-91,03/11/1994
Breno da Rocha,Neurologia,07/02/2016,+55 51 669 1312,"Área Vitória Barbosa, 296
Monsenhor Messias
97041-413 Dias / RR",898.210.316-48,03/06/1991
Pietra Fernandes,Alergia e imunologia,01/06/2017,11 7731 4869,"Viaduto Correia, 89
Liberdade
90998010 Gomes / MS",224.340.787-65,01/09/1996
Ana Julia Cardoso,Cardiologia,11/21/2018,(084) 6805 0901,"Distrito de Duarte, 35
Vila Maloca
22157-020 Rocha / CE",686.745.827-24,01/01/1995
Srta. Raquel da Paz,Acupuntura,09/05/2013,+55 61 9606 9893,"Lagoa de Dias, 82
Caiçaras
74890-852 Rezende do Oeste / PE",622.576.404-11,11/16/1981
Ana Sophia Barbosa,Cirurgia geral,07/14/2016,+55 (031) 9948-7289,"Rodovia Barros, 99
Vila Nova Gameleira 1ª Seção
58451-496 Melo do Oeste / AL",195.767.303-11,12/25/1991
Benjamin Costela,Dermatologia,07/26/2010,(061) 5536 3945,"Vereda Kaique da Mata, 98
Nova Esperança
43432236 Freitas / PE",723.888.139-16,12/31/1992
Isis Aragão,Cirurgia geral,02/07/2013,+55 (084) 2945 7350,"Setor Murilo da Rosa, 7
Mariquinhas
92326-856 Lima / CE",917.827.449-31,04/25/1988
Theo da Cruz,Dermatologia,10/07/2010,84 1934 6198,"Favela de Silva, 9
Vila Da Ária
82313-344 Ferreira / RS",693.543.435-87,07/15/1990
Samuel Pires,Alergia e imunologia,06/09/2018,+55 (041) 6460-8533,"Travessa Viana, 913
Leonina
26751-052 Souza / RN",683.784.360-11,10/22/1986
Caroline Castro,Alergia e imunologia,11/03/2015,+55 (021) 3203-4400,"Travessa Martins, 77
Pedreira Padro Lopes
93775808 Vieira do Galho / ES",185.414.479-13,06/04/1989
Lavínia Vieira,Dermatologia,01/19/2011,+55 (084) 5311 4093,"Área de Lima, 45
Mangabeiras
60007897 Farias Verde / MG",749.574.756-65,10/11/1985
Stella Silva,Alergia e imunologia,09/22/2015,(021) 3902-9518,"Praça de Moura, 684
Conjunto Paulo Vi
99951-753 Ramos do Amparo / MG",258.452.106-47,11/16/1978
André da Cunha,Dermatologia,12/09/2013,(041) 6132 0246,"Residencial Giovanna Campos, 3
Califórnia
48285-301 Caldeira do Campo / PB",845.159.920-44,11/17/1980
Srta. Luana Martins,Oftalmologia,06/15/2012,+55 (021) 7872-2420,"Lagoa de Gomes, 29
São Jorge 1ª Seção
91823-477 Ferreira / AL",950.200.371-23,05/24/1974
Dr. Danilo Rocha,Neurologia,12/02/2018,+55 71 9423 5623,"Parque de Carvalho, 90
Distrito Industrial Do Jatoba
37140-949 Caldeira do Oeste / PA",604.121.486-38,02/18/1989
Gabriela Azevedo,Dermatologia,10/24/2019,(051) 6403-9221,"Aeroporto de Farias, 98
Novo Ouro Preto
99498-729 da Mota da Mata / PA",466.668.365-89,11/17/1982
Stephany Rodrigues,Dermatologia,04/03/2015,11 8529 6817,"Alameda Luana Fernandes, 62
Parque São Pedro
18775270 da Cunha / GO",682.360.230-57,05/24/1997
Paulo Almeida,Radioterapia,10/10/2015,(071) 9048 1049,"Morro de Carvalho, 1
Vila Santo Antônio Barroquinha
48716-420 da Conceição / MT",337.450.710-93,12/04/1991
Dra. Gabriela Pereira,Cardiologia,08/23/2013,+55 (041) 8268-1586,"Estrada Silveira, 7
Tupi A
67272-838 Jesus / PI",657-966-159-28,10/17/1987
Sarah da Cunha,Pediatria,01/05/2019,(011) 9985-3698,"Estrada Julia Cunha, 1
Penha
64284459 Melo / ES",843.160.313-93,12/22/1983
Vitor Peixoto,Medicina do trabalho,03/25/2020,+55 51 152 4599,"Fazenda Rodrigues
Prado
53888-954 Teixeira / AM",542.938.682-10,02/20/1986
Dra. Maysa Silva,Alergia e imunologia,07/25/2018,21 0363-8179,"Loteamento Nunes, 27
Conjunto Paulo Vi
28580-840 Santos / MG",384.925.504-19,08/28/1995
João Pedro da Paz,Endoscopia,08/08/2010,+55 51 921 5064,"Viaduto Lucca Gomes
Horto Florestal
14521-290 Correia / RR",877.254.897-89,07/14/1992
Maria Julia Nascimento,Cardiologia,05/14/2018,61 2484 5484,"Lagoa de Caldeira
Nova Granada
94601329 Almeida / RJ",489.760.123-51,04/26/1999
Lorena Lima,Oftalmologia,02/03/2017,+55 (071) 8149 6467,"Rua Alves, 81
Braúnas
26029-505 Ferreira / PA",188-940-671-44,02/14/1974
Letícia Rezende,Radioterapia,01/19/2019,+55 21 7418 5827,"Viaduto Cauê Martins, 58
Vila Tirol
42728017 Monteiro de Goiás / MA",878.697.784-49,09/29/1983
Carolina Melo,Acupuntura,06/26/2012,+55 (021) 2878 9179,"Trevo Azevedo, 1
Tupi A
47000290 Moreira / RJ",464.154.818-84,05/27/1991
Raquel Santos,Medicina do trabalho,,(021) 4535-7198,"Quadra Monteiro, 10
Vila Sumaré
05434-101 Ferreira / PE",513.686.206-81,01/01/2000
Marcos Vinicius da Costa,Dermatologia,07/28/2016,+55 (061) 7188 3351,"Estrada de Farias, 93
Piratininga
49607-387 Moreira Alegre / RR",320.188.986-65,10/02/1983
Stella Costela,Endoscopia,04/11/2018,(011) 4942 1013,"Travessa Breno Monteiro, 363
Apolonia
82756483 Lima / SE",575.349.637-28,05/25/1993
Gustavo Sales,Dermatologia,03/27/2014,+55 84 1936-8577,"Parque de da Conceição, 12
São Salvador
42660562 Nogueira / AP",148.531.415-30,08/21/1986
Ana Luiza Ribeiro,Alergia e imunologia,12/28/2017,+55 (021) 1269 4889,"Esplanada Carvalho, 48
Vila Nova Gameleira 3ª Seção
36211-583 Santos / RS",680.849.599-91,08/30/1972
Ana Laura Correia,Dermatologia,05/12/2020,+55 (021) 4340-5056,"Pátio Catarina da Paz, 9
São Cristóvão
43576904 Silva / RJ",185.444.148-80,05/15/1990
Marina Castro,Dermatologia,11/29/2015,+55 81 2601-6021,"Distrito de Castro
Vila Formosa
87193146 Porto / RR",662.347.789-74,04/28/1998
Benjamin Carvalho,Medicina do trabalho,04/20/2012,(071) 2935-6680,"Trecho Jesus, 53
Rio Branco
43953081 Correia do Campo / SE",897.575.358-88,08/17/1980
João Gabriel Jesus,Dermatologia,06/15/2012,+55 (041) 2757-1360,"Jardim de Porto, 4
Taquaril
94036-024 Nogueira / RN",336.259.185-33,04/02/1972
Calebe Novaes,Alergia e imunologia,08/03/2013,+55 71 7497 5221,"Parque de da Paz, 16
Minaslandia
40110901 Castro dos Dourados / SE",153.462.424-49,09/01/1977
Davi Luiz da Luz,Cardiologia,04/21/2019,+55 (084) 1567 8120,"Ladeira de Monteiro, 89
Vila Batik
29346-912 Freitas / RJ",432.237.910-38,06/16/1976
Gabrielly da Rocha,Alergia e imunologia,02/26/2014,31 3800-0603,"Núcleo Davi Lucas Jesus, 664
Delta
33147-786 da Rosa / PA",927.659.394-60,02/10/1989
Breno da Rosa,Medicina do trabalho,03/03/2020,31 8779 5030,"Pátio de da Cruz, 67
Vila Coqueiral
91267080 Araújo de Sales / AC",621.348.951-39,08/18/1996
Emilly Caldeira,Medicina do trabalho,06/07/2014,+55 (041) 9006 1569,"Campo Fernando Vieira, 88
Mineirão
71432-794 Moraes / TO",322.444.718-36,12/05/1984
Sra. Giovanna Porto,Endoscopia,01/06/2018,(084) 1415-3677,"Sítio de Costela, 90
Calafate
38965273 Ferreira de Souza / SC",138.587.888-25,11/01/1992
Anthony da Mota,Alergia e imunologia,11/25/2019,+55 81 6202 6485,"Lago Lorena Cunha, 3
Anchieta
28071-474 Novaes / SC",446.753.574-41,02/02/1996
Maria Clara Costa,Acupuntura,11/07/2016,(021) 2894-4562,"Trevo de Porto, 195
Conjunto São Francisco De Assis
94843-988 Novaes / PR",578.675.855-13,03/11/1995
Sr. Lucca da Costa,Oftalmologia,06/20/2014,+55 41 7112 8200,"Travessa Mariana Ribeiro, 7
Vila Betânia
99548-506 da Conceição do Campo / GO",883.986.850-76,01/11/1982
Dra. Julia Oliveira,Endoscopia,10/20/2016,+55 (021) 7265-4016,"Favela Enzo Sales, 42
Engenho Nogueira
52950156 Vieira / RJ",898.255.356-22,10/29/1980
André Pires,Radioterapia,08/27/2015,+55 81 0047 9832,"Vereda Beatriz Almeida, 14
Santa Cecilia
14759200 Costela dos Dourados / AC",993.780.481-31,05/13/1997
Ana Laura da Rosa,Acupuntura,06/30/2019,+55 61 6233 7951,"Alameda de Porto, 30
Jardim Do Vale
59724-721 Jesus de Silva / SE",214.507.415-86,06/12/1992
Pietro Nascimento,Alergia e imunologia,05/23/2016,21 9057 6267,"Morro Novaes, 34
Biquinhas
92717-296 Teixeira / PR",751.263.258-59,05/08/1988
Dr. Eduardo da Conceição,Endoscopia,03/26/2016,+55 (051) 0255 7521,"Praia de Pinto, 2
Gutierrez
44875814 Costela / AC",682.454.389-48,11/07/1989
Maria Julia Freitas,Oftalmologia,06/14/2016,(031) 2490-2685,"Rua Davi Lucas Gomes, 65
Barão Homem De Melo 2ª Seção
09503055 Ramos de Novaes / RR",552.165.280-11,08/03/1996
Davi Caldeira,Radioterapia,12/02/2019,11 6361-1038,"Ladeira de Moura
São Cristóvão
84577-842 Fogaça Paulista / RN",974.529.997-41,09/03/1987
Matheus Aragão,Acupuntura,07/05/2017,+55 31 0619 9302,"Chácara Leonardo Porto, 3
Garças
45221097 Nascimento do Oeste / ES",574.725.209-92,10/02/1975
Ana Beatriz Novaes,Radioterapia,05/25/2017,+55 (071) 5471-2983,"Aeroporto Ana Vitória Viana, 6
Acaiaca
95299525 das Neves de Cardoso / GO",693.472.540-66,08/14/1976
Maria Julia Duarte,Alergia e imunologia,11/01/2011,+55 31 8886-6767,"Residencial Oliveira, 17
Ipiranga
59274864 Correia / PA",773.340.575-88,08/09/1998
Milena Moura,Cardiologia,06/12/2018,+55 (081) 6548 7662,"Travessa Amanda Lima
Morro Dos Macacos
92212-767 Freitas do Campo / PB",160.802.736-75,08/13/1989
Enzo Silveira,Cardiologia,01/26/2019,71 5075 7004,"Praça Lorenzo Farias, 42
Flavio De Oliveira
12480-623 Rezende Alegre / AM",950.247.478-91,05/12/1992
Theo Barbosa,Dermatologia,10/08/2013,31 1580 2487,"Praça Evelyn Alves
Conjunto Novo Dom Bosco
54717-941 Costa das Flores / RN",434.858.207-45,05/01/1984
Renan Nogueira,Medicina do trabalho,08/22/2018,+55 (041) 3833 9503,"Trevo de Viana, 12
Marieta 1ª Seção
38561800 da Costa / DF",214.190.676-67,12/10/1992
Bruna Barbosa,Acupuntura,03/15/2020,71 9477-7398,"Núcleo Manuela Lopes, 974
Lajedo
53006-980 Fogaça / RS",909.189.878-14,09-04-1988
Luigi Fernandes,Acupuntura,03/24/2018,+55 (011) 6696 4989,"Esplanada Nogueira, 16
Novo Glória
51216-781 Porto / PB",608.426.789-15,10/16/1996
Laís Rocha,Dermatologia,10/14/2012,(084) 3390 5562,"Via Leandro Caldeira, 81
Buraco Quente
48322-585 Melo / PR",438.888.822-21,06/06/1987
Amanda da Mota,Endoscopia,03/15/2013,+55 (081) 9360-1176,"Avenida Cunha, 8
Camargos
56701-437 Jesus da Mata / RN",,01/18/1975
Maria Sophia Pinto,Dermatologia,12/31/2011,(031) 4147 5173,"Pátio de Jesus
Califórnia
50765152 Monteiro de Porto / RN",591-173-377-15,08/04/1977
Lavínia Dias,Cirurgia geral,10/04/2010,81 0747-7678,"Sítio Carlos Eduardo da Paz, 45
Pindura Saia
55643-111 da Cruz da Serra / MS",324.135.978-75,11/30/1998
Dra. Agatha Ramos,Radioterapia,10/23/2018,+55 71 7475 7235,"Estação Melissa Gonçalves, 660
Vila Real 1ª Seção
79806206 da Mota da Praia / TO",818.931.521-17,06/11/1986
Maria Vitória Duarte,Alergia e imunologia,10/18/2018,(041) 7696-0961,"Residencial de Alves
Primeiro De Maio
84325-936 da Cunha de Mendes / RR",502.187.247-62,03/19/1972
Emanuel Pires,Medicina do trabalho,10/30/2015,+55 61 3015 3013,"Alameda de Monteiro, 8
Senhor Dos Passos
39420138 Farias / RN",826.942.813-22,02/07/1984
Amanda das Neves,Neurologia,08/19/2010,71 3006-0483,"Esplanada Correia, 893
Flamengo
27587-999 da Cunha / DF",897.643.188-53,02/01/1989
Marcela Gomes,Oftalmologia,07/07/2013,+55 (021) 6311 6219,"Fazenda Cardoso, 3
Santa Rita De Cássia
28603-049 Souza / DF",387.988.334-19,10/30/1979
Dr. Luigi Araújo,Cirurgia geral,09/10/2019,+55 (021) 2308-2994,"Vale de Castro, 6
Piraja
60186279 Barros / AM",533.976.168-52,11/12/1977
Dr. Vicente Ramos,Alergia e imunologia,10/26/2018,(051) 3428 7018,"Conjunto de Carvalho, 86
Vila Independencia 2ª Seção
08973-868 da Mota / MT",380.430.712-54,12/28/1977
Rebeca da Costa,Cardiologia,02/22/2012,41 7692-3825,"Viaduto Lorena Viana, 47
São Pedro
50197-672 Oliveira / GO",316.969.637-49,12/13/1973
Dr. Vitor Hugo das Neves,Cardiologia,,+55 (061) 7813 6476,"Chácara Alice Rocha, 70
São Luiz
58430-251 Ramos / ES",237.988.209-77,08/06/1985
Henrique Fernandes,Medicina do trabalho,03/28/2016,(061) 8760 7062,"Ladeira Ana Laura Rodrigues, 31
Concórdia
68919313 das Neves / RS",644.681.762-76,09/05/1977
Alice Costela,Dermatologia,01/20/2017,31 8221 2918,"Passarela Maria Luiza Mendes, 24
Vila Nova Gameleira 1ª Seção
57402073 Peixoto Paulista / PR",863.207.416-18,08/05/1998
Renan Moreira,Neurologia,10/11/2013,(071) 2449-7206,"Quadra Ana Clara Rodrigues
Barão Homem De Melo 2ª Seção
71996948 da Rocha de Pereira / AM",288.882.637-81,08/07/1990
Larissa Ferreira,Medicina do trabalho,06/24/2011,(071) 0306-6411,"Praia Lorenzo Farias, 99
Vila Satélite
15814-047 Melo / SP",842.489.668-76,09/27/1993
Larissa Porto,Dermatologia,05/12/2015,+55 61 1446-6380,"Estação Lucas Gabriel Ferreira, 55
Solimoes
04966-115 Santos / ES",656.783.516-72,05/27/1980
Sr. Isaac Cardoso,Medicina do trabalho,01/18/2016,+55 31 2060-4846,"Núcleo Azevedo, 91
Vila Sesc
30131173 da Costa de Goiás / RS",504.661.202-43,05/19/1979
Lorenzo da Paz,Pediatria,10/26/2014,51 042 4156,"Favela Alves, 956
Vila Maloca
13862034 da Conceição do Norte / AL",134.985.570-48,02/27/1992
João Pinto,Radioterapia,10/26/2018,+55 (071) 4502-7918,"Parque de Carvalho
Grota
66376-424 Ramos / MS",769.615.103-36,09/19/1974
Clarice Almeida,Medicina do trabalho,04/30/2020,(041) 7616-5655,"Pátio de Pires, 55
Sion
10247482 Santos de Goiás / AC",228.165.870-98,01/16/1986
Ana Vitória Aragão,Cirurgia geral,07/26/2014,21 2522 3423,"Avenida de Rezende, 4
Dom Silverio
37951-447 Moreira / RJ",398.273.580-89,07/13/1999
Ana Julia Silva,Cirurgia geral,08/29/2017,+55 (021) 1063-1550,"Setor Camila da Cunha, 63
Casa Branca
92083498 da Mata / PR",947.808.375-45,06/21/1998
Igor Castro,Oftalmologia,07/30/2013,+55 61 1051-0274,"Vale Carvalho, 33
Vila Fumec
95084722 Fernandes do Norte / SE",401.767.323-97,07/16/1977
Alana Peixoto,Cardiologia,09/29/2010,(071) 9877 9333,"Praça Luigi Moreira, 87
Castanheira
72159184 Carvalho / SE",548.776.371-32,05/30/1979
João Guilherme Rezende,Neurologia,07/10/2017,+55 (061) 9207 2229,"Trecho Sophie Aragão, 45
Grota
00128-899 Rodrigues de da Mata / MG",859.654.595-37,08/18/1982
Bruna Barros,Alergia e imunologia,09/28/2018,+55 61 3302 4306,"Recanto Costela, 8
Das Industrias I
62892-150 Peixoto / MA",140.798.818-38,06/01/1991
Enzo Gabriel Alves,,11/09/2019,+55 61 0236-7779,"Avenida de Nunes, 17
Barão Homem De Melo 3ª Seção
71246832 Dias / RR",324.981.870-12,10/24/1987
Benício Castro,Pediatria,01/17/2018,+55 11 2643-7023,"Viaduto de Farias, 14
Cabana Do Pai Tomás
29442-486 Teixeira Alegre / DF",794.337.950-74,08/19/1985
Srta. Ana Luiza Alves,Medicina do trabalho,08/25/2013,+55 71 2692-2837,"Praia Pires, 37
Serrano
18898227 Rocha / RO",728.359.548-44,10/14/1995
Manuela Oliveira,Oftalmologia,12/21/2014,(041) 8664 6272,"Alameda de Cavalcanti, 7
Túnel De Ibirité
71766763 Teixeira / BA",770.962.560-38,12/01/1983
Davi Luiz Jesus,Pediatria,09/06/2010,(081) 4860 8389,"Rodovia Carolina da Rosa, 15
Paquetá
19250-237 Fogaça / MS",539.786.229-84,01/09/1973
Sofia Rezende,Cirurgia geral,10/08/2012,+55 (011) 5990 6163,"Passarela Cardoso, 66
Vila Maria
60141-780 da Cruz / PI",233.115.197-95,05/18/1979
Nicolas Lima,Dermatologia,04/16/2018,(061) 5888-4673,"Avenida Santos, 11
Santa Rita De Cássia
31426961 Almeida da Serra / PE",255.396.394-80,10/26/1971
João Miguel da Conceição,Neurologia,11/16/2015,+55 31 3137-0145,"Estação Gonçalves, 65
Vila Paraíso
64753-973 Nunes de Moraes / AP",419.854.657-64,04/20/1979
Rafael Duarte,Cirurgia geral,05/11/2018,71 8027-1085,"Vale da Mota, 823
Vila Da Luz
29081555 Monteiro das Flores / AP",280.662.991-17,04/18/1995
Maria Clara Barros,Neurologia,03/05/2013,61 9727-1125,"Viela Isabel Moreira, 52
Camargos
33119134 Cunha de Aragão / MG",821.624.471-75,10/25/1997
Ana Clara Nascimento,Medicina do trabalho,01/22/2017,+55 51 443 3723,"Recanto Nascimento, 72
Senhor Dos Passos
52491133 da Rosa Verde / CE",290.881.560-83,06/08/1989
Maria Fernanda Moreira,Oftalmologia,05/04/2013,81 9835-1877,"Via Alícia Pereira, 708
Vila Primeiro De Maio
92657-597 Pinto de da Paz / AC",785.228.750-37,03/15/1996
Valentina Sales,Endoscopia,04/07/2014,(011) 5508-6547,"Rua Maria Eduarda Cardoso, 16
Nova Esperança
25157972 da Rocha de Fogaça / TO",458-227-343-97,07/25/1992
Alana Sales,Dermatologia,05/27/2018,+55 (081) 4565 6533,"Morro Santos, 4
Embaúbas
46236615 Martins Verde / PE",690.232.117-54,03/15/1994
Levi Rocha,Radioterapia,01/21/2020,+55 (061) 9360-0470,"Campo Isis da Rocha, 4
Castanheira
32985-658 Costa / RS",467.168.874-53,06/29/1985
Vitor Hugo Silveira,Alergia e imunologia,10/12/2017,(041) 1562 3728,"Vale Diego Alves, 24
Vila Dos Anjos
42781-623 Fogaça Grande / RO",357.628.652-24,08/11/1989
Pedro Fogaça,Endoscopia,10/23/2014,+55 (041) 1897 1558,"Praia Clara Teixeira, 38
Vila Esplanada
34195-731 Cardoso / PA",372.390.957-52,06/23/1981
Helena Gonçalves,Neurologia,07/21/2016,(011) 0022-4155,"Praça Lavínia Moura, 9
Lagoinha
28813417 Dias / PE",585.851.340-65,07/28/1990
Lorenzo Castro,Radioterapia,09/03/2013,84 4490-6713,"Fazenda Julia Moreira
Bonfim
99407-316 da Mota de Nunes / MS",854.568.963-93,01/03/1997
Agatha Dias,Alergia e imunologia,03/17/2018,+55 (021) 3992 9591,"Loteamento de da Conceição, 7
São Francisco
27493102 Lima da Praia / AC",674.393.205-11,02/03/1977
Dr. Danilo Moura,Radioterapia,05/25/2012,,"Vila Fogaça
Goiania
15262444 da Rosa do Amparo / GO",441.255.693-38,08-15-1989
Yago Barbosa,Neurologia,12/24/2012,61 5730-7867,"Esplanada de Porto, 71
Garças
37771129 Duarte / RS",812.702.610-53,06/01/2000
Dr. Pietro Lima,Dermatologia,01/16/2013,(061) 6193-0239,"Conjunto Davi Luiz Campos, 505
Conjunto Califórnia I
59709092 Rocha do Sul / AL",512.349.289-53,08/13/1998
Bianca Moura,Cirurgia geral,03/28/2017,(081) 6980-9911,"Travessa de Cardoso, 26
Vila Piratininga Venda Nova
38762-548 Gomes de Fogaça / RJ",267.857.580-75,02/03/1999
Dra. Nina Ramos,Pediatria,04/16/2016,51 120 4292,"Jardim de da Conceição, 33
Pedreira Padro Lopes
44261-050 da Cruz de Minas / RS",348.874.346-36,06/18/1973
Rafaela da Rosa,Medicina do trabalho,06/24/2015,(061) 9991 5087,"Campo Lima
Conjunto Paulo Vi
02809191 das Neves / AC",994.412.232-11,12/05/1977
Pietra Lopes,Dermatologia,03/01/2013,81 3023-5282,"Fazenda de da Rosa, 12
Vila Primeiro De Maio
56506759 Pinto / AM",820.470.752-35,12/30/1999
Lorenzo Viana,Cirurgia geral,05/20/2017,+55 (061) 9382 1123,"Vale da Conceição, 67
Vila São Dimas
76887346 Costela de Campos / MS",625.747.474-42,12/24/1998
Sr. Levi da Rosa,Neurologia,03/26/2018,+55 51 295 3753,"Conjunto de Cardoso, 15
Vila São Gabriel
71866-707 Moreira / AP",936.489.691-28,02-25-1982
Pietra Souza,Acupuntura,09/25/2011,41 3064-0119,"Lagoa de Freitas
Lourdes
24123077 Araújo / RO",490.649.731-36,11/24/1970
João Fogaça,Oftalmologia,02/24/2017,(061) 7632-8602,"Avenida Isaac Sales, 18
São Cristóvão
78193967 Costela / CE",569.244.198-76,08/25/1998
Laura da Mota,Alergia e imunologia,05/18/2013,71 4474-2542,"Praia Castro
Itapoa
60613469 Nogueira / SC",924.590.451-80,01/09/1996
Bruno Alves,Dermatologia,03/14/2013,84 7579 0114,,568.885.672-76,09/26/1978
Henrique Rocha,Alergia e imunologia,09/28/2015,21 1711-1147,"Alameda Moreira
Grotinha
56656257 Pinto / PB",872.268.763-53,07/12/1995
Ryan Rezende,Alergia e imunologia,07/09/2017,+55 51 460 8620,"Loteamento de Farias
Aeroporto
04876148 Cardoso Grande / RN",305.980.455-86,06/26/1991
Dra. Ana Julia da Cruz,Medicina do trabalho,05/22/2011,(061) 1449-4120,"Jardim Costela, 17
Engenho Nogueira
11046115 Pereira de Cardoso - PI",469.768.620-46,05/21/1988
João Felipe Silveira,Cirurgia geral,02/16/2020,84 3589-7579,"Via Maria Luiza Azevedo, 13
Acaba Mundo
82891-956 Silva das Pedras / AL",611.362.616-71,10/19/1995
Isabelly Pinto,Acupuntura,11/30/2015,11 4812-6553,"Praça Ana Vitória Jesus, 464
Europa
23460835 Cardoso / PA",680.272.984-93,10/11/1980
Lucas Gabriel Moreira,Radioterapia,12/10/2010,+55 (041) 0237-5376,"Via Kamilly Novaes, 638
Céu Azul
34936-069 Moraes Paulista / RR",266.363.492-69,08/27/1995
Luiz Fernando Ribeiro,Radioterapia,12/28/2015,51 159 1148,"Sítio de Gonçalves
Caetano Furquim
95453-856 Nogueira do Galho / SE",380.684.464-67,03/07/1990
Manuela Vieira,Medicina do trabalho,03/25/2020,41 4939 5151,"Jardim Eduardo Farias
São Sebastião
06541-393 Novaes Grande / RS",207.945.715-73,02/05/2000
Vitor Gabriel Melo,Dermatologia,03/03/2012,+55 (061) 3479-0520,"Lagoa de Dias, 95
Pedreira Padro Lopes
55968-991 Nunes de Minas / AP",453.147.975-26,09/16/1981
Luiz Felipe Azevedo,Alergia e imunologia,08/31/2018,+55 (084) 6519 0405,"Viela Gonçalves, 42
Estrela Do Oriente
06005-865 Alves / SP",628.755.974-49,10/10/1989
Dr. Marcos Vinicius Castro,Cirurgia geral,05/12/2018,(041) 8672-6990,"Trecho Oliveira, 17
Grotinha
04140-429 Gomes / RJ",898.487.800-27,04/13/1973
Dra. Luna Mendes,Alergia e imunologia,12/12/2011,(031) 9612 5248,"Praia de Oliveira, 554
Santa Rita
98745-863 Lopes / AM",564.980.362-40,10/07/1986
Clarice Teixeira,Neurologia,01/18/2015,+55 (021) 1356-7701,"Viaduto João Pedro Pinto, 4
Vila Das Oliveiras
95516-620 Lima de Minas / TO",263.908.752-96,07/19/1982
Sr. Murilo da Mota,Pediatria,09/05/2014,+55 41 0089 5569,"Recanto Eduardo Correia, 48
Conjunto Floramar
33445-821 Gomes Verde / RS",374.174.847-58,
Sr. Matheus da Conceição,Pediatria,08/19/2012,(051) 9258-0926,"Travessa Raul Pinto
Jardim Guanabara
78022389 Aragão / RS",853.147.824-90,07/19/1975
Dra. Alana Aragão,Oftalmologia,06/26/2020,(041) 3890 4068,"Setor Campos
Maravilha
75521-008 Lima Paulista / RN",433.246.802-21,05/24/1999
Ana Luiza da Costa,Dermatologia,05/16/2014,71 4569 3762,"Colônia de Santos, 81
Camargos
54588316 Cardoso / MG",169.641.966-61,11/21/1978
Juan Martins,Neurologia,03/25/2019,(051) 6411 7586,"Estação de Rocha, 592
Monte Azul
31842101 Nascimento / TO",893.615.268-17,
Sra. Clarice Moraes,Cirurgia geral,06/30/2015,+55 (081) 0934 9196,"Chácara Vicente Barros, 285
Fazendinha
09709701 Costa das Pedras / MS",558.347.644-88,08/19/1974
Dr. Luiz Otávio Correia,Oftalmologia,03/21/2012,(011) 7783-9378,"Viela de da Luz, 8
Esplanada
70253-863 Farias do Sul / MT",972.346.251-83,06/11/1980
Pedro das Neves,Pediatria,11/28/2016,41 3622-6573,"Esplanada de Silveira, 43
Horto
67690720 Nogueira de Santos / PR",170.340.429-91,03/05/1993
Sr. Murilo Duarte,Dermatologia,12/26/2013,+55 21 7662-5776,"Praia Silveira
Santo André
43339-210 da Mata / RR",691.377.467-28,11/14/1981
Pedro Miguel Vieira,Cirurgia geral,05/29/2020,+55 (021) 3644-6095,"Passarela Cardoso
Satelite
65355180 Carvalho de Barros / DF",459.174.436-62,11/28/1985
Eduarda Lopes,Cardiologia,02/19/2018,51 065 8358,"Chácara de Mendes
Barroca
40378-035 Souza da Mata / AP",128.563.214-54,05/13/1980
Isabelly Santos,Oftalmologia,09/03/2013,+55 11 9924 2441,"Pátio Maria Julia da Cunha, 16
Acaba Mundo
61480490 Dias do Sul / PA",505.903.482-32,09/09/1978
Thales Moraes,Medicina do trabalho,11/16/2019,+55 (011) 4780 2856,"Praia de Novaes, 89
Pilar
76635-973 Martins / CE",989.635.553-65,10/25/1979
Ryan Correia,Cardiologia,12/25/2010,+55 84 0782-0768,"Recanto Campos, 37
Olaria
44960-453 da Conceição do Sul / RS",745.906.269-68,01/13/1991
Nathan da Mata,Acupuntura,01/27/2014,81 2542-6238,"Viaduto Maitê da Cruz, 991
Mirtes
78595970 Jesus Alegre / DF",648.149.328-98,09/23/1999
Davi Luiz Aragão,Alergia e imunologia,08/24/2019,11 9939-7165,"Alameda Benjamin Alves, 52
Castelo
01617-430 Costa da Praia / MS",108.284.929-16,08/07/1989
Ana Julia Cardoso,Endoscopia,05/16/2014,+55 (021) 9119 4882,"Praia de Cardoso
Estrela
30437913 Jesus de Araújo / MS",435.701.934-58,06/08/1994
Fernando Araújo,Neurologia,05/24/2013,+55 (011) 3286 9277,"Campo de Melo
Vila Real 1ª Seção
07649-204 da Rosa / PR",306.816.378-68,11/20/1997
Larissa Moreira,Neurologia,11/08/2019,+55 84 6925 8561,"Alameda Samuel Porto, 91
São Gabriel
01039211 Moura do Campo / GO",463.976.232-20,01/23/1985
Bernardo Santos,Oftalmologia,12/01/2010,+55 51 996 1139,"Alameda Arthur Cavalcanti, 35
Vila Santo Antônio
30656955 Pereira / BA",400.976.558-28,02/17/1990
